order_id,user_id,order_date,amount,status
1,7725,2024-12-11,21.69,completed
2,2047,2024-08-24,69.64,refunded
3,6446,2024-02-04,126.34,cancelled
4,6310,2024-04-05,134.34,completed
5,7774,2024-07-02,26.09,completed
6,7194,2024-09-01,109.66,completed
7,4220,2024-10-15,54.96,cancelled
8,5051,2024-09-14,174.72,completed
9,5507,2024-09-16,22.14,completed
10,6825,2024-01-31,108.22,completed
11,4521,2024-09-22,50.31,completed
12,2263,2024-09-03,40.76,completed
13,5974,2024-07-28,129.45,cancelled
14,3415,2024-11-05,143.5,completed
15,9681,2024-08-13,8.19,completed
16,792,2024-05-01,131.03,completed
17,8230,2024-08-26,63.19,cancelled
18,8784,2024-01-21,68.16,completed
19,4723,2024-12-16,20.96,completed
20,3994,2024-05-13,103.24,completed
21,208,2024-07-26,273.19,completed
22,3300,2024-10-29,42.91,completed
23,9861,2024-01-05,152.8,completed
24,9325,2024-07-01,66.27,completed
25,9659,2024-06-25,44.37,completed
26,401,2024-07-18,17.09,completed
27,8756,2024-12-17,167.48,completed
28,9818,2024-07-01,72.57,completed
29,4724,2024-08-10,46.3,completed
30,8350,2024-10-11,52.85,cancelled
31,1113,2024-05-08,109.09,completed
32,9833,2024-06-12,46.23,completed
33,1231,2024-05-17,29.37,completed
34,6493,2024-11-05,60.97,completed
35,3492,2024-04-24,59.52,refunded
36,2716,2024-04-22,58.5,cancelled
37,5906,2024-03-06,46.74,completed
38,8714,2024-01-14,156.35,completed
39,1002,2024-09-26,337.92,completed
40,7952,2024-12-24,26.15,completed
41,5301,2024-08-20,6.65,completed
42,3786,2024-10-18,55.24,completed
43,5352,2024-04-28,7.76,completed
44,6687,2024-10-09,15.35,completed
45,7311,2024-10-31,43.55,completed
46,1598,2024-08-06,108.54,refunded
47,895,2024-04-11,54.74,cancelled
48,269,2024-01-24,4.45,cancelled
49,5183,2024-09-01,54.17,completed
50,1739,2024-07-02,57.43,completed
51,4432,2024-08-12,58.19,completed
52,5247,2024-03-06,141.0,refunded
53,5687,2024-08-10,125.29,cancelled
54,6658,2024-01-21,70.47,cancelled
55,9592,2024-09-11,239.39,completed
56,229,2024-04-23,43.45,completed
57,5306,2024-11-10,60.34,completed
58,2673,2024-10-13,65.41,cancelled
59,6270,2024-08-30,16.89,completed
60,7425,2024-01-11,66.47,completed
61,3032,2024-04-21,13.65,completed
62,1939,2024-07-07,37.9,completed
63,770,2024-02-02,72.88,completed
64,5868,2024-02-19,19.88,completed
65,9359,2024-07-15,85.21,completed
66,7498,2024-01-30,32.85,cancelled
67,1960,2024-11-26,49.51,completed
68,8750,2024-10-31,96.24,completed
69,2987,2024-04-17,62.51,completed
70,787,2024-04-07,83.78,completed
71,8513,2024-02-21,92.03,completed
72,9698,2024-08-27,61.72,cancelled
73,2855,2024-04-19,87.32,completed
74,578,2024-04-16,37.35,completed
75,8299,2024-11-29,95.4,completed
76,9390,2024-04-09,55.52,completed
77,2890,2024-01-06,159.09,completed
78,7419,2024-10-14,74.03,completed
79,3611,2024-02-13,42.08,completed
80,5476,2024-08-22,96.6,cancelled
81,787,2024-03-08,163.77,completed
82,1046,2024-12-19,45.36,completed
83,3852,2024-08-17,39.19,completed
84,9319,2024-10-13,2.27,completed
85,8833,2024-02-28,73.89,completed
86,4274,2024-09-12,51.2,completed
87,6913,2024-06-22,96.32,completed
88,3716,2024-05-23,97.81,cancelled
89,4855,2024-11-09,17.71,completed
90,7583,2024-03-09,124.91,completed
91,4035,2024-04-11,34.42,completed
92,6330,2024-10-30,45.57,completed
93,1332,2024-09-29,85.56,cancelled
94,1782,2024-04-01,24.51,completed
95,3309,2024-07-07,39.53,completed
96,7294,2024-03-11,22.36,completed
97,5447,2024-11-06,132.46,completed
98,1980,2024-07-23,48.87,completed
99,1939,2024-11-30,20.25,completed
100,4420,2024-01-13,21.73,completed
101,7168,2024-05-13,117.79,completed
102,3056,2024-02-02,31.71,cancelled
103,209,2024-02-26,44.71,cancelled
104,7104,2024-08-19,68.63,completed
105,145,2024-12-28,51.7,completed
106,518,2024-11-15,9.79,completed
107,5170,2024-02-29,103.8,completed
108,5289,2024-11-21,54.84,completed
109,6197,2024-07-11,83.07,cancelled
110,692,2024-10-19,109.25,cancelled
111,2114,2024-06-09,7.21,completed
112,4312,2024-10-26,109.97,completed
113,1418,2024-05-28,296.81,completed
114,2624,2024-04-02,89.67,completed
115,9628,2024-09-13,160.79,refunded
116,9089,2024-06-19,129.38,completed
117,4489,2024-10-08,107.14,completed
118,5860,2024-09-04,132.56,completed
119,9318,2024-03-05,148.22,completed
120,4273,2024-03-22,152.25,completed
121,4340,2024-08-12,21.67,completed
122,3808,2024-10-12,138.2,completed
123,4721,2024-11-22,54.21,refunded
124,9481,2024-05-14,155.98,completed
125,7241,2024-01-22,95.4,cancelled
126,8510,2024-09-06,21.35,completed
127,3206,2024-04-12,170.61,completed
128,9947,2024-10-20,34.57,completed
129,1599,2024-11-14,52.08,completed
130,7794,2024-02-15,197.81,completed
131,4410,2024-01-21,74.4,completed
132,3460,2024-03-06,50.26,refunded
133,6587,2024-06-29,62.87,completed
134,6628,2024-06-03,49.39,refunded
135,3337,2024-07-03,117.63,cancelled
136,7843,2024-04-27,50.63,refunded
137,7999,2024-07-03,64.55,completed
138,7543,2024-10-16,101.25,completed
139,8053,2024-10-19,93.36,completed
140,1199,2024-12-24,37.16,completed
141,4135,2024-07-25,118.63,cancelled
142,3422,2024-03-31,43.39,completed
143,4427,2024-05-27,26.56,completed
144,2687,2024-09-22,10.97,completed
145,6143,2024-10-01,57.91,cancelled
146,690,2024-05-31,13.85,cancelled
147,2246,2024-07-03,32.72,completed
148,1458,2024-04-11,65.83,cancelled
149,4514,2024-02-26,146.03,completed
150,1583,2024-07-25,53.21,completed
151,6743,2024-12-03,17.3,completed
152,1160,2024-06-17,61.24,completed
153,7652,2024-01-05,142.16,completed
154,9951,2024-04-22,52.22,completed
155,1063,2024-12-26,163.14,cancelled
