user_id,country,registration_date
1,Netherlands,2024-05-11
2,France,2023-03-28
3,USA,2023-01-20
4,Spain,2024-07-29
5,Netherlands,2023-08-02
6,UK,2023-07-10
7,Germany,2023-06-23
8,Netherlands,2023-04-19
9,USA,2024-07-26
10,Spain,2023-03-21
11,France,2024-06-09
12,USA,2024-07-29
13,USA,2024-11-23
14,Germany,2024-02-28
15,Italy,2023-03-09
16,Spain,2024-04-03
17,Poland,2023-11-24
18,USA,2023-01-25
19,Italy,2023-01-24
20,Poland,2023-03-14
21,Spain,2023-06-19
22,Ukraine,2023-06-30
23,UK,2024-01-28
24,Italy,2024-04-12
25,Canada,2023-01-21
26,Ukraine,2024-03-11
27,UK,2023-06-04
28,Germany,2024-07-10
29,Netherlands,2024-05-19
30,France,2024-06-28
31,Canada,2024-02-28
32,Germany,2023-11-22
33,Spain,2023-06-21
34,Germany,2023-12-15
35,Netherlands,2024-04-02
36,Spain,2023-08-05
37,Canada,2024-09-20
38,Netherlands,2024-11-06
39,Poland,2023-01-06
40,France,2024-08-12
41,Canada,2024-09-17
42,Poland,2023-05-05
43,UK,2024-06-26
44,Canada,2023-11-25
45,UK,2023-09-22
46,Spain,2023-08-04
47,Poland,2023-05-01
48,France,2023-06-17
49,Netherlands,2024-08-16
50,USA,2023-09-19
51,Germany,2023-03-21
52,Ukraine,2023-03-14
53,France,2023-10-23
54,Poland,2023-03-17
55,USA,2023-10-06
56,France,2024-10-20
57,Poland,2023-09-25
58,Italy,2024-04-13
59,Italy,2023-07-25
60,UK,2024-09-18
61,France,2023-02-03
62,Italy,2024-07-20
63,Poland,2023-12-23
64,UK,2024-02-21
65,Poland,2023-04-07
66,UK,2024-12-17
67,France,2023-10-22
68,USA,2023-03-03
69,Netherlands,2024-03-04
70,Canada,2023-08-16
71,USA,2024-10-06
72,Spain,2024-05-03
73,Poland,2024-04-25
74,Spain,2024-11-18
75,USA,2024-10-31
76,UK,2023-10-08
77,Canada,2024-03-24
78,Canada,2023-05-30
79,Ukraine,2024-07-01
80,Canada,2023-02-24
81,Netherlands,2023-02-05
82,Canada,2024-05-28
83,USA,2023-06-27
84,Ukraine,2024-08-23
85,USA,2023-08-13
86,USA,2023-03-03
87,Germany,2024-10-26
88,Ukraine,2023-06-30
89,USA,2024-11-04
90,Germany,2023-03-20
91,Germany,2023-10-23
92,Ukraine,2023-08-04
93,Spain,2023-12-19
94,UK,2024-05-08
95,Netherlands,2024-10-09
96,UK,2023-10-11
97,Canada,2023-05-07
98,Netherlands,2023-10-15
99,Canada,2023-10-03
100,USA,2023-06-12
101,Poland,2024-06-04
102,Ukraine,2023-07-27
103,Netherlands,2024-06-29
104,Netherlands,2024-12-28
105,USA,2024-06-14
106,Spain,2024-05-18
107,Germany,2023-02-25
108,USA,2024-04-18
109,Italy,2024-05-08
110,Germany,2023-05-13
111,Ukraine,2024-02-19
112,Germany,2024-07-20
113,Spain,2023-07-10
114,Germany,2023-05-07
115,Ukraine,2023-12-26
116,Spain,2023-10-22
117,UK,2023-07-29
118,Netherlands,2024-12-19
119,Netherlands,2024-05-12
120,Canada,2024-06-18
121,UK,2024-03-08
122,UK,2023-06-20
123,Germany,2024-06-15
124,Netherlands,2023-09-09
125,Ukraine,2024-10-16
126,France,2024-08-19
127,France,2024-08-25
128,Spain,2023-02-13
129,Netherlands,2023-06-27
130,Netherlands,2024-09-30
131,France,2023-01-25
132,Netherlands,2024-09-17
133,Germany,2023-09-03
134,Italy,2023-11-08
135,Poland,2023-07-27
136,UK,2023-02-21
137,Canada,2023-06-13
138,Spain,2024-12-10
139,Italy,2024-03-16
140,France,2024-11-11
141,UK,2024-07-11
142,Netherlands,2023-09-02
143,Canada,2023-06-15
144,Netherlands,2024-05-24
145,Ukraine,2024-01-23
146,Ukraine,2023-11-04
147,Canada,2024-11-18
148,Canada,2024-12-11
149,France,2024-05-14
150,Canada,2023-12-23
151,Germany,2023-04-21
152,Netherlands,2023-07-25
153,Italy,2023-04-19
154,USA,2023-07-11
155,Canada,2024-08-01
156,Spain,2024-03-12
157,Ukraine,2024-02-23
158,Germany,2023-07-24
159,UK,2024-08-03
160,USA,2024-03-30
161,Italy,2023-11-29
162,USA,2024-11-28
163,Canada,2024-03-29
164,France,2023-11-07
165,Ukraine,2023-10-09
166,Ukraine,2023-06-20
167,UK,2023-04-18
168,France,2024-01-31
169,Netherlands,2024-01-19
170,Poland,2023-03-12
171,Germany,2024-08-10
172,Ukraine,2023-02-06
173,Spain,2024-10-30
174,Ukraine,2023-03-27
175,USA,2023-04-29
176,Ukraine,2024-05-02
177,Ukraine,2023-05-05
178,Poland,2024-09-07
179,Poland,2024-06-12
180,Italy,2023-11-24
181,Netherlands,2024-04-08
182,Spain,2023-02-19
183,Ukraine,2023-10-26
184,Ukraine,2023-10-24
185,Germany,2024-04-07
186,Poland,2023-12-30
187,Spain,2024-02-15
188,UK,2023-07-15
189,Italy,2024-03-05
190,Netherlands,2024-10-30
191,France,2023-01-09
192,Netherlands,2024-06-12
193,USA,2024-07-13
194,Ukraine,2023-03-30
195,Italy,2024-06-13
196,USA,2024-11-18
197,Spain,2024-02-22
198,France,2024-08-06
199,Poland,2023-07-27
200,Italy,2024-08-19
201,Italy,2024-05-12
202,Ukraine,2023-09-22
203,Canada,2023-03-28
204,Italy,2023-08-16
205,Germany,2023-12-04
206,France,2023-05-03
207,France,2023-12-19
208,Germany,2023-01-03
209,UK,2024-07-14
210,Germany,2024-11-11
211,Germany,2024-07-12
212,France,2023-07-24
213,Netherlands,2024-01-24
214,France,2024-08-14
215,Canada,2023-05-19
216,Ukraine,2024-01-30
217,USA,2024-12-09
218,Netherlands,2023-03-24
219,Poland,2024-11-07
220,USA,2024-04-30
221,Ukraine,2023-08-20
222,Canada,2024-10-15
223,Canada,2024-05-11
224,Poland,2024-01-30
225,Netherlands,2024-04-18
226,UK,2023-06-04
227,Germany,2023-04-29
228,Netherlands,2023-10-18
229,UK,2024-08-15
230,Canada,2023-05-06
231,France,2024-02-23
232,Ukraine,2024-08-27
233,Poland,2024-12-17
234,Ukraine,2024-02-16
235,Spain,2024-12-14
236,Spain,2023-01-01
237,Netherlands,2024-04-10
238,Canada,2023-09-09
239,Canada,2024-01-15
240,Germany,2023-01-16
241,Germany,2023-03-28
242,Germany,2024-12-22
243,France,2023-10-09
244,USA,2024-11-13
245,Italy,2024-10-07
246,USA,2024-09-18
247,Ukraine,2023-08-27
248,USA,2023-07-05
249,France,2023-02-14
250,Ukraine,2023-07-07
251,USA,2024-11-12
252,France,2024-03-16
253,Italy,2023-03-03
